Symbol,Shortname,Longname,Sector,Industry,Currentprice,Marketcap,Ebitda,Revenuegrowth,City,State,Country,Fulltimeemployees,Weight,has_data
AAPL,Apple Inc.,Apple Inc.,Technology,Consumer Electronics,254.49,3846819807232,134660997120.0,0.061,Cupertino,CA,United States,164000.0,0.0692091524397274,False
NVDA,NVIDIA Corporation,NVIDIA Corporation,Technology,Semiconductors,134.7,3298803056640,61184000000.0,1.224,Santa Clara,CA,United States,29600.0,0.0593496381573215,True
MSFT,Microsoft Corporation,Microsoft Corporation,Technology,Software - Infrastructure,436.6,3246068596736,136551997440.0,0.16,Redmond,WA,United States,228000.0,0.0584008785436112,True
AMZN,"Amazon.com, Inc.","Amazon.com, Inc.",Consumer Cyclical,Internet Retail,224.92,2365033807872,111583002624.0,0.11,Seattle,WA,United States,1551000.0,0.0425499486683522,True
GOOGL,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.41,2351625142272,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0423087098196338,False
GOOG,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,192.96,2351623045120,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0423086720892176,True
META,"Meta Platforms, Inc.","Meta Platforms, Inc.",Communication Services,Internet Content & Information,585.25,1477457739776,79208996864.0,0.189,Menlo Park,CA,United States,72404.0,0.0265813329085953,True
TSLA,"Tesla, Inc.","Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,421.06,1351627833344,13244000256.0,0.078,Austin,TX,United States,140473.0,0.0243174937863789,True
AVGO,Broadcom Inc.,Broadcom Inc.,Technology,Semiconductors,220.79,1031217348608,22958000128.0,0.164,Palo Alto,CA,United States,20000.0,0.0185529040232474,False
BRK-B,Berkshire Hathaway Inc. New,Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,453.2,978776031232,149547008000.0,-0.002,Omaha,NE,United States,396500.0,0.0176094184142796,False
WMT,Walmart Inc.,Walmart Inc.,Consumer Defensive,Discount Stores,92.24,740999888896,40779001856.0,0.048,Bentonville,AR,United States,2100000.0,0.0133315249578394,False
LLY,Eli Lilly and Company,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,767.76,690458853376,16566500352.0,0.204,Indianapolis,IN,United States,43000.0,0.0124222278222706,False
JPM,JP Morgan Chase & Co.,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,237.6,668924837888,,0.03,New York,NY,United States,316043.0,0.0120348036549762,False
V,Visa Inc.,Visa Inc.,Financial Services,Credit Services,317.71,615235846144,24973000704.0,0.117,San Francisco,CA,United States,,0.0110688708065074,True
MA,Mastercard Incorporated,Mastercard Incorporated,Financial Services,Credit Services,528.03,484642324480,16784000000.0,0.128,Purchase,NY,United States,33400.0,0.0087193282229185,False
ORCL,Oracle Corporation,Oracle Corporation,Technology,Software - Infrastructure,169.66,474532249600,21802999808.0,0.069,Austin,TX,United States,159000.0,0.0085374351921528,True
XOM,Exxon Mobil Corporation,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,105.87,465308188672,71537999872.0,-0.015,Spring,TX,United States,62000.0,0.0083714826727031,False
UNH,UnitedHealth Group Incorporated,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,500.13,460261654528,35035000832.0,0.092,Minnetonka,MN,United States,440000.0,0.0082806891423673,False
COST,Costco Wholesale Corporation,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,954.07,423510736896,11521999872.0,0.01,Issaquah,WA,United States,333000.0,0.007619493664505,False
PG,Procter & Gamble Company (The),The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,168.06,395788025856,24039999488.0,-0.006,Cincinnati,OH,United States,108000.0,0.0071207270389399,False
HD,"Home Depot, Inc. (The)","The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,392.6,389994315776,24757999616.0,0.066,Atlanta,GA,United States,465000.0,0.0070164908687495,False
NFLX,"Netflix, Inc.","Netflix, Inc.",Communication Services,Entertainment,909.05,388580671488,9976898560.0,0.15,Los Gatos,CA,United States,13000.0,0.0069910576205273,True
JNJ,Johnson & Johnson,Johnson & Johnson,Healthcare,Drug Manufacturers - General,144.47,347828879360,30051999744.0,0.052,New Brunswick,NJ,United States,131900.0,0.00625788135158,False
BAC,Bank of America Corporation,Bank of America Corporation,Financial Services,Banks - Diversified,44.17,338911100928,,-0.005,Charlotte,NC,United States,213000.0,0.0060974392415119,False
